Name,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths,Year
Southern Severe Weather (April 2020),Severe Storm,2020-04-21,20200423,1660.6,1350.0,3,2020
"Central, Southern and Eastern Severe Weather (April 2020)",Severe Storm,2020-04-27,20200430,1263.3,1027.0,1,2020
Central and Eastern Severe Weather (May 2020),Severe Storm,2020-05-03,20200505,2598.9,2113.0,2,2020
"South, Central and Eastern Severe Weather (May 2020)",Severe Storm,2020-05-20,20200523,1948.6,1584.0,2,2020
South Texas Hail Storms (May 2020),Severe Storm,2020-05-27,20200527,1722.0,1400.0,0,2020
Central Severe Weather (July 2020),Severe Storm,2020-07-10,20200711,1459.1,1196.0,0,2020
Hurricane Hanna (July 2020),Tropical Cyclone,2020-07-25,20200726,1300.8,1075.0,0,2020
Hurricane Isaias (August 2020),Tropical Cyclone,2020-08-03,20200804,5756.1,4757.0,16,2020
Central Severe Weather - Derecho (August 2020),Severe Storm,2020-08-10,20200810,13452.9,11027.0,4,2020
Hurricane Laura (August 2020),Tropical Cyclone,2020-08-27,20200828,28090.3,23215.0,42,2020
Hurricane Sally (September 2020),Tropical Cyclone,2020-09-15,20200917,8801.5,7274.0,5,2020
Hurricane Delta (October 2020),Tropical Cyclone,2020-10-09,20201011,3469.3,2867.0,5,2020
Hurricane Zeta (October 2020),Tropical Cyclone,2020-10-28,20201029,5266.0,4352.0,6,2020
Tropical Storm Eta (November 2020),Tropical Cyclone,2020-11-08,20201112,1766.7,1460.0,12,2020
"Western Wildfires - California, Oregon, Washington Firestorms (Fall 2020)",Wildfire,2020-08-01,20201230,19904.5,16450.0,46,2020
Western/Central Drought and Heat Wave (Summer-Fall 2020),Drought,2020-06-01,20201230,5439.1,4495.0,45,2020
California Flooding and Severe Weather (January 2021),Flooding,2021-01-24,20210129,1325.0,1095.0,2,2021
"Northwest, Central, Eastern Winter Storm and Cold Wave (February 2021)",Winter Storm,2021-02-10,20210219,27223.2,22686.0,262,2021
Southeast Tornadoes and Severe Weather (March 2021),Severe Storm,2021-03-24,20210325,1995.8,1677.0,6,2021
Eastern Severe Weather (March 2021),Severe Storm,2021-03-27,20210328,1601.9,1346.0,8,2021
Texas Hail Storms (April 2021),Severe Storm,2021-04-12,20210415,1755.3,1475.0,0,2021
Texas and Oklahoma Severe Weather (April 2021),Severe Storm,2021-04-27,20210428,3747.4,3149.0,0,2021
